#step	logL
23494	-205.57
23528	-209.134
23562	-207.986
23596	-209.426
23630	-208.243
23664	-200.003
23698	-205.017
23732	-197.969
23766	-205.723
23800	-209.95
23834	-209.737
23868	-203.087
23902	-195.089
23936	-178.656
23970	-195.522
24004	-193.615
24038	-184.187
24072	-186.785
24106	-187.545
24140	-195.996
24174	-192.22
24208	-199.867
24242	-196.182
24276	-195.467
24310	-197.095
24344	-198.864
24378	-196.833
24412	-199.026
24446	-205.813
24480	-205.56
24514	-199.868
24548	-197.368
24582	-192.466
24616	-192.734
24650	-194.076
24684	-190.902
24718	-199.627
24752	-197.853
24786	-198.286
24820	-195.363
24854	-202.636
24888	-202.966
24922	-205.147
24956	-205.986
24990	-208.528
25024	-211.176
25058	-208.04
25092	-210.774
25126	-203.142
25160	-201.006
25194	-199.739
25228	-196.737
25262	-197.151
25296	-189.937
25330	-185.965
25364	-195.052
25398	-193.566
25432	-185.209
25466	-196.166
25500	-207.712
25534	-202.089
25568	-202.015
25602	-208.289
25636	-205.199
25670	-175.213
25704	-177.83
25738	-178.243
25772	-184.559
25806	-180.773
25840	-185.931
25874	-182.933
25908	-179.552
25942	-185.629
25976	-195.098
26010	-196.88
26044	-199.231
26078	-199.386
26112	-199.038
26146	-194.412
26180	-191.931
26214	-192.692
26248	-201.727
26282	-210.84
26316	-204.817
26350	-211.549
26384	-209.859
26418	-206.089
26452	-208.642
26486	-203.337
26520	-208.811
26554	-200.453
26588	-195.849
26622	-204.113
26656	-188.679
26690	-195.099
26724	-197.852
26758	-199.665
26792	-205.53
26826	-205.789
26860	-199.008
26894	-192.859
26928	-195.708
26962	-204.386
26996	-186.371
27030	-203.098
27064	-205.952
27098	-205.689
27132	-204.427
27166	-202.984
27200	-195.651
27234	-198.138
27268	-187.207
27302	-190.577
27336	-201.8
27370	-202.476
27404	-207.094
27438	-201.415
27472	-200.392
27506	-199.444
27540	-193.26
27574	-198.354
27608	-197.683
27642	-202.422
27676	-190.247
27710	-192.597
27744	-199.027
27778	-197.206
27812	-201.441
27846	-193.252
27880	-199.607
27914	-202.099
27948	-203.711
27982	-203.534
28016	-189.352
28050	-190.234
28084	-169.759
28118	-178.541
28152	-182.678
28186	-183.679
28220	-163.482
28254	-172.184
28288	-178.589
28322	-181.132
28356	-187.881
28390	-195.616
28424	-187.331
28458	-185.268
28492	-193.05
28526	-185.49
28560	-175.657
28594	-189.136
28628	-185.823
28662	-197.165
28696	-194.979
28730	-203.055
28764	-193.84
28798	-197.41
28832	-201.866
28866	-206.285
28900	-198.831
28934	-201.302
28968	-194.39
29002	-201.352
29036	-192.035
29070	-189.04
29104	-190.651
29138	-193.803
29172	-191.909
29206	-188.682
29240	-196.083
29274	-183.184
29308	-191.466
29342	-191.004
29376	-187.874
29410	-199.507
29444	-198.844
29478	-200.26
29512	-207.414
29546	-208.806
29580	-201.125
29614	-204.415
29648	-210.449
29682	-211.027
29716	-210.32
29750	-210.878
29784	-199.59
29818	-209.573
29852	-209.163
29886	-210.514
29920	-203.58
29954	-197.835
29988	-201.2
30022	-198.416
30056	-200.042
30090	-194.111
30124	-199.487
30158	-201.101
30192	-190.178
30226	-207.3
30260	-202.208
30294	-188.223
30328	-185.908
30362	-186.465
30396	-191.555
30430	-193.914
30464	-192.721
30498	-189.429
30532	-194.533
30566	-185.893
30600	-191.527
30634	-188.4
30668	-194.86
30702	-186.4
30736	-195.621
30770	-198.654
30804	-201.163
30838	-201.507
30872	-198.536
30906	-198.966
30940	-192.367
30974	-191.095
31008	-193.236
31042	-195.164
31076	-194.435
31110	-206.912
31144	-196.408
31178	-197.348
31212	-200.385
31246	-195.122
31280	-203.158
31314	-199.095
31348	-194.852
31382	-203.568
31416	-201.858
31450	-199.747
31484	-199.561
31518	-190.359
31552	-204.145
31586	-201.845
31620	-201.228
31654	-202.982
31688	-203.041
31722	-201.917
31756	-199.422
31790	-204.627
31824	-203.824
31858	-199.797
31892	-201.343
31926	-207.973
31960	-204.841
31994	-205.029
32028	-203.271
32062	-195.225
32096	-202.922
32130	-195.986
32164	-206.478
32198	-203.379
32232	-199.082
32266	-195.747
32300	-185.338
32334	-191.827
32368	-189.565
32402	-199.486
32436	-189.923
32470	-189.681
32504	-189.448
32538	-185.451
32572	-183.063
32606	-201.881
32640	-206.576
32674	-206.081
32708	-207.275
32742	-212.429
32776	-208.162
32810	-211.146
32844	-203.436
32878	-203.538
32912	-207.997
32946	-206.609
32980	-207.758
33014	-187.739
33048	-198.5
33082	-202.513
33116	-207.741
33150	-210.502
33184	-208.72
33218	-212.926
33252	-210.128
33286	-209.941
33320	-210.483
33354	-211.506
33388	-212.164
33422	-206.103
33456	-210.638
33490	-211.327
33524	-209.379
33558	-206.228
33592	-205.871
33626	-210.734
33660	-210.403
33694	-205.09
33728	-198.361
33762	-197.884
33796	-195.376
33830	-196.924
33864	-194.331
33898	-198.676
33932	-197.701
33966	-194.705
34000	-198.446
34034	-201.944
34068	-200
34102	-201.994
34136	-202.167
34170	-198.783
34204	-197.305
34238	-195.214
34272	-202.364
34306	-205.29
34340	-205.812
34374	-183.355
34408	-200.896
34442	-193.609
34476	-190.661
34510	-195.192
34544	-185.312
34578	-185.535
34612	-175.535
34646	-168.115
34680	-174.032
34714	-180.359
34748	-172.535
34782	-188.643
34816	-187.202
34850	-182.696
34884	-177.958
34918	-184.148
34952	-178.927
34986	-193.324
35020	-195.708
35054	-185.569
35088	-189.152
35122	-178.253
35156	-189.433
35190	-181.727
35224	-189.848
35258	-185.157
35292	-186.334
35326	-187.923
35360	-190.762
35394	-189.59
35428	-191.911
35462	-204.323
35496	-196.045
35530	-189.646
35564	-205.658
35598	-192.681
35632	-201.075
35666	-187.116
35700	-193.185
35734	-192.556
35768	-203.066
35802	-203.687
35836	-207.57
35870	-210.69
35904	-207.441
35938	-204.331
35972	-205.703
36006	-198.671
36040	-207.985
36074	-205.476
36108	-204.464
36142	-197.148
36176	-193.74
36210	-182.023
36244	-189.819
36278	-189.46
36312	-192.926
36346	-207.187
36380	-200.535
36414	-197.753
36448	-198.913
36482	-205.154
36516	-198.206
36550	-186.613
36584	-192.424
36618	-186.95
36652	-190.935
36686	-181.292
36720	-186.13
36754	-180.819
36788	-181.045
36822	-190.081
36856	-192.364
36890	-189.806
36924	-193.346
36958	-188.307
36992	-184.777
37026	-188.276
37060	-174.997
37094	-180.15
37128	-208.932
37162	-201.201
37196	-209.952
37230	-204.4
37264	-202.223
37298	-202.065
37332	-199.24
37366	-201.116
37400	-203.016
37434	-206.523
37468	-207.801
37502	-208.756
37536	-206.279
37570	-210.435
37604	-207.407
37638	-207.999
37672	-208.201
37706	-206.93
37740	-209.26
37774	-209.96
37808	-212.767
37842	-209.445
37876	-209.761
37910	-201.655
37944	-211.338
37978	-207.652
38012	-205.863
38046	-199.933
38080	-193.047
38114	-203.621
38148	-206.596
38182	-204.647
38216	-206.96
38250	-207.025
38284	-206.644
38318	-201.487
38352	-203.639
38386	-194.251
38420	-192.618
38454	-193.895
38488	-192.1
38522	-196.04
38556	-207.813
38590	-203.998
38624	-200.888
38658	-203.714
38692	-207.526
38726	-207.979
38760	-206.095
38794	-192.631
38828	-202.169
38862	-197.709
38896	-201.141
38930	-210.88
38964	-211.918
38998	-210.245
39032	-208.959
39066	-207.806
39100	-205.492
39134	-197.975
39168	-200.127
39202	-205.946
39236	-207.967
39270	-202.856
39304	-206.572
39338	-203.032
39372	-210.55
39406	-206.478
39440	-200.984
39474	-192.998
39508	-199.994
39542	-200.24
39576	-199.33
39610	-202.558
39644	-194.254
39678	-183.334
39712	-178.459
39746	-207.081
39780	-199.179
39814	-192.548
39848	-202.356
39882	-203.588
39916	-202.739
39950	-201.792
39984	-210.454
40018	-204.085
40052	-199.203
40086	-198.242
40120	-199.088
40154	-200.73
40188	-193.216
40222	-198.431
40256	-203.624
40290	-210.042
40324	-211.133
40358	-208.658
40392	-211.877
40426	-209.857
40460	-198.354
40494	-201.263
40528	-189.964
40562	-182.467
40596	-177.004
40630	-184.481
40664	-194.169
40698	-192.965
40732	-193.095
40766	-188.755
40800	-185.751
40834	-187.57
40868	-182.057
40902	-198.27
40936	-193.948
40970	-192.07
41004	-204.501
41038	-200.746
41072	-197.162
41106	-199.857
41140	-196.284
41174	-203.71
41208	-202.266
41242	-205.217
41276	-205.638
41310	-207.406
41344	-198.878
41378	-192.38
41412	-197.492
41446	-193.39
41480	-196.011
41514	-195.01
41548	-193.22
41582	-196.108
41616	-186.458
41650	-191.637
41684	-208.081
41718	-209.65
41752	-211.258
41786	-209.173
41820	-205.967
41854	-211.58
41888	-214.044
41922	-209.587
41956	-213.821
41990	-213.321
42024	-208.309
42058	-205.928
42092	-203.357
42126	-198.177
42160	-202.614
42194	-207.306
42228	-207.257
42262	-201.35
42296	-203.562
42330	-205.104
42364	-207.961
42398	-206.613
42432	-203.715
42466	-206.071
42500	-207.632
42534	-207.365
42568	-196.478
42602	-199.484
42636	-198.537
42670	-200.15
42704	-205.723
42738	-199.511
42772	-207.003
42806	-198.728
42840	-198.86
42874	-199.075
42908	-206.559
42942	-204.791
42976	-211.304
43010	-209.786
43044	-211.687
43078	-200.532
43112	-195.164
43146	-192.014
43180	-191.614
43214	-191.423
43248	-187.523
43282	-190.834
43316	-181.282
43350	-198.318
43384	-195.299
43418	-189.78
43452	-192.018
43486	-192.218
43520	-197.445
43554	-199.315
43588	-192.079
43622	-205.304
43656	-199.277
43690	-199.494
43724	-202.919
43758	-204.349
43792	-198.761
43826	-194.939
43860	-199.666
43894	-206.646
43928	-206.967
43962	-201.289
43996	-205.793
44030	-200.492
44064	-194.699
44098	-196.091
44132	-198.73
44166	-197.171
44200	-200.123
44234	-195.427
44268	-195.322
44302	-198.749
44336	-202.349
44370	-202.88
44404	-199.919
44438	-198.864
44472	-194.824
44506	-196.02
44540	-211.724
44574	-210.942
44608	-208.534
44642	-211.926
44676	-212.321
44710	-212.579
44744	-211.931
44778	-211.659
44812	-210.409
44846	-213.652
44880	-209.908
44914	-207.492
44948	-209.518
44982	-207.439
45016	-208.063
45050	-199.886
45084	-208.034
45118	-208.826
45152	-204.992
45186	-204.323
45220	-204.623
45254	-206.737
45288	-208.001
45322	-213.501
45356	-207.362
45390	-201.168
45424	-204.626
45458	-211.114
45492	-211.608
45526	-212.048
45560	-207.22
45594	-205.742
45628	-211.307
45662	-207.987
45696	-204.019
45730	-204.375
45764	-205.612
45798	-200.59
45832	-206.248
45866	-210.339
45900	-210.946
45934	-212.21
45968	-205.938
46002	-200.944
46036	-211.234
46070	-208.525
46104	-206.723
46138	-203.45
46172	-204.005
46206	-202.718
46240	-198.435
46274	-198.682
46308	-199.298
46342	-202.054
46376	-192.777
46410	-203.392
46444	-204.497
46478	-198.837
46512	-202.626
46546	-193.739
46580	-201.195
46614	-211.024
46648	-204.052
46682	-200.982
46716	-202.52
46750	-201.147
46784	-202.499
46818	-195.388
46852	-194.657
46886	-200.095
46920	-199.386
46954	-201.769
46988	-208.464
47022	-206.174
47056	-191.812
47090	-188.881
47124	-198.119
47158	-191.538
47192	-208.412
47226	-204.482
47260	-207.695
47294	-194.816
47328	-194.105
47362	-205.35
47396	-208.318
47430	-201.809
47464	-198.892
47498	-201.281
47532	-201.629
47566	-202.345
47600	-206.277
47634	-202.333
47668	-197.011
47702	-199.519
47736	-197.011
47770	-184.706
47804	-187.873
47838	-188.777
47872	-183.076
47906	-199.67
47940	-191.192
47974	-199.927
48008	-197.834
48042	-193.944
48076	-188.766
48110	-194.465
48144	-191.303
48178	-200.376
48212	-191.694
48246	-201.729
48280	-202.32
48314	-213.274
48348	-215.526
48382	-208.086
48416	-207.355
48450	-211.743
48484	-210.404
48518	-211.866
48552	-209.174
48586	-203.527
48620	-214.103
48654	-212.661
48688	-213.515
48722	-213.892
48756	-215.923
48790	-213.446
48824	-213.596
48858	-209.735
48892	-198.774
48926	-196.119
48960	-194.439
48994	-202.797
49028	-200.486
49062	-200.495
49096	-201.672
49130	-200.052
49164	-200.004
49198	-203.26
49232	-203.334
49266	-201.605
49300	-207.643
49334	-205.607
49368	-203.72
49402	-200.963
49436	-201.772
49470	-205.4
49504	-203.407
49538	-209.638
49572	-204.598
49606	-208.146
49640	-204.597
49674	-200.913
49708	-207.792
49742	-209.506
49776	-201.778
49810	-203.734
49844	-210.061
49878	-203.044
49912	-199.726
49946	-205.88
49980	-203.984
